,NS,B,D,VD,SP,GP,WP,M,BB,
NS,0.8,0.2,,,,,,,,1
Beach,0.1,0.7,0.2,,,,,,,1
Dune,,0.2,0.5,0.1,0.2,,,,,1
Veg. Dune,,0.2,0.1,0.5,0.2,,,,,1
Sandy platform,,,,,0.45,0.4,0.1,,0.05,1
Grassy platform,,,,,0.2,0.5,0.1,0.1,0.1,1
Woody platform,,,,,0.15,,0.8,,0.05,1
Marsh,,,,,0.1,0.05,0.05,0.7,0.1,1
Back bay,,,,,,,,0.3,0.7,1
